dist_id,district,adm,charter_status,ed_adm,ed_pct,high_pov_1,high_pov_2,el_adm,swd_total,swd_aut,swd_dd,swd_ed,swd_hi,swd_id,swd_md,swd_ohi,swd_oi,swd_sld,swd_sli,swd_tbi,swd_vi,swd_db,aig_enroll,sq_mi,current_pp,sparsity_23,el_pct,current_total
49F,Langtree Charter Academy,1576,Charter,464.20799999999997,0.304,0,0,17,209,42,8,2,4,15,4,56,1,46,30,0,1,0,32,NA,7283.87,0,0.010786802030456852,11479379.12
49G,Iredell Charter Academy,695,Charter,406.119,0.5810000000000001,0,1,35,99,9,5,1,1,4,1,12,0,30,36,0,0,0,27,NA,7220.9,0,0.050359712230215826,5018525.5
50A,Summit Charter,296,Charter,75.887,0.259,0,0,16,34,1,0,1,0,0,0,4,0,16,11,1,0,0,0,NA,8036.81,0,0.05405405405405406,2378895.7600000002
51A,Neuse Charter School,884,Charter,261.87000000000006,0.30100000000000005,0,0,12,87,15,2,0,1,4,0,12,1,33,19,0,0,0,83,NA,7649.74,0,0.013574660633484163,6762370.16
51B,Johnston Charter Academy,733,Charter,361.872,0.504,0,1,26,107,13,9,1,1,2,0,25,0,31,24,1,0,0,0,NA,7757.32,0,0.03547066848567531,5686115.56
51C,American Leadership Academy Johnston,1804,Charter,643.962,0.363,0,0,0,230,29,10,5,2,4,1,49,1,87,40,2,0,0,76,NA,7577.96,0,0,13670639.84
53B,Ascend Leadership Academy: Lee County,582,Charter,160.73200000000003,0.281,0,0,9,67,14,0,0,0,3,0,22,0,27,1,0,0,0,0,NA,7666.44,0,0.015463917525773196,4461868.08
53C,MINA Charter School of Lee County,385,Charter,191.136,0.528,0,1,44,39,2,1,0,0,2,0,7,0,14,13,0,0,0,0,NA,8917.03,0,0.11428571428571428,3433056.5500000003
53D,Central Carolina Academy Charter,430,Charter,141.203,0.337,0,0,0,36,3,0,2,0,0,0,14,0,16,1,0,0,0,0,NA,7313.38,0,0,3144753.4
54A,Children's Village Academy,143,Charter,126.94800000000002,0.8940000000000001,1,0,0,38,2,1,0,0,13,0,2,0,13,7,0,0,0,0,NA,9093.04,0,0,1300304.7200000002
